Year,Malawi,Madagascar,Sierra Leone,Liberia,Angola,Pakistan,Niger,Zimbabwe,Bolivia,Ghana,Nigeria,Cote d'Ivoire,Senegal
2021,653703,895045,264106,162685,1338792,6374741,1144371,488807,263820,904679,7923294,932943,549984
2022,665678,906130,265023,164452,1359723,6424944,1180654,491195,264070,906677,8002758,943133,555696
2023,678962,918152,266774,166979,1381742,6474370,1216927,493840,263936,909913,8109136,959962,562482
2024,687950,927190,267219,169153,1404185,6512176,1256001,496655,265235,911299,8234399,974998,568369
2025,698306,937701,268121,171399,1426882,6559877,1296167,498207,266191,916924,8321052,989981,575820
2026,709710,946788,269644,173760,1451467,6623023,1332695,503836,266974,921313,8417807,1004962,583961
2027,717845,958349,270048,175391,1474494,6692327,1371490,507954,266660,929498,8515800,1020230,590692
2028,727908,969625,271566,178075,1499488,6737602,1410212,512476,266211,936474,8600296,1037875,600396
2029,736141,977745,272836,179087,1521988,6772974,1450574,517059,266289,943623,8708649,1055006,608007
2030,746353,986067,273274,181355,1547459,6821226,1483504,522660,266744,949657,8765211,1068104,616648
2031,748584,994660,273322,182201,1572264,6870148,1522706,528818,266621,956126,8852283,1085163,625158
2032,757906,1002209,274550,183848,1592178,6916782,1563742,534114,267218,964543,8901896,1100286,635036
2033,760142,1012090,275718,185439,1615060,6947976,1598817,538307,266582,972737,8959175,1115956,643044
2034,766161,1016579,275979,186189,1636637,6982608,1639190,542656,265709,980395,9019452,1124540,652722
2035,770109,1022598,275102,187959,1660269,7016399,1676290,545670,264642,992864,9035342,1138011,662728
2036,777754,1027544,275225,188887,1683515,7059317,1713777,548566,265125,1000388,9064441,1148760,672905
2037,783308,1034770,274879,190281,1703425,7038521,1751491,549989,263748,1011554,9113661,1161303,681600
2038,786687,1043997,274472,191029,1719912,7064364,1793325,551052,263370,1015829,9177359,1168015,689715
2039,787216,1052428,274346,191333,1738073,7060539,1826027,553179,262000,1018423,9188325,1180368,695251
2040,791264,1056562,273861,191991,1761109,7047387,1856378,553763,261882,1025955,9202983,1190959,704790
