Year,Malawi,Madagascar,Sierra Leone,Liberia,Angola,Pakistan,Niger,Zimbabwe,Bolivia,Ghana,Nigeria,Cote d'Ivoire,Senegal
2021,19889742,28915652,8420642,5193422,34503776,231402110,25252722,15993525,12079474,32833036,213401330,27478250,16876726
2022,20405318,29611718,8605723,5302690,35588996,235824860,26207982,16320539,12224114,33475870,218541220,28160548,17316452
2023,20931750,30325736,8791092,5418378,36684212,240485660,27202844,16665407,12388575,34121990,223804640,28873040,17763164
2024,21475962,31056608,8977979,5536954,37804630,245209810,28238976,17020320,12567344,34777524,229152220,29603304,18221560
2025,22033992,31797310,9165381,5657236,38942796,249948880,29315974,17375286,12746151,35439790,234573600,30344186,18687806
2026,22601152,32544740,9353161,5779304,40099524,254714480,30427548,17731592,12924654,36102732,240054480,31095448,19161044
2027,23176274,33299316,9540981,5902867,41274796,259516160,31572968,18090452,13102178,36767492,245599170,31857148,19641036
2028,23758546,34061948,9728852,6028041,42468716,264344420,32753300,18451238,13278045,37435100,251201200,32630380,20128438
2029,24347880,34830850,9917105,6154517,43680936,269181860,33969224,18814074,13452350,38104812,256866060,33415866,20623578
2030,24944248,35604444,10105183,6282078,44911664,274029820,35217944,19179398,13625518,38775850,262580420,34211276,21125876
2031,25544612,36382790,10292487,6410629,46161760,278895000,36498908,19547982,13797349,39447704,268333200,35016384,21635694
2032,26148398,37165280,10479352,6539866,47428250,283775140,37815970,19919580,13967888,40121424,274119420,35831988,22153520
2033,26755508,37952420,10666291,6670126,48710084,288660900,39167080,20293206,14136812,40797668,279925060,36657340,22679020
2034,27364194,38742684,10852750,6800915,50007930,293546460,40551812,20668334,14303358,41475948,285756000,37489204,23211966
2035,27975136,39534124,11037687,6932311,51321970,298432770,41971184,21044294,14467250,42158204,291591580,38326372,23753294
2036,28589072,40326750,11220981,7064348,52652830,303322800,43423750,21420370,14629056,42844164,297416670,39169604,24303128
2037,29206648,41120990,11402884,7196808,53998520,308188640,44909744,21795710,14788625,43533064,303246600,40018236,24860624
2038,29825538,41918824,11583100,7329598,55355640,313022080,46431150,22169384,14945406,44223250,309097400,40870350,25424702
2039,30443126,42720784,11761688,7462148,56723292,317831140,47985370,22541724,15099349,44910370,314949920,41725790,25993660
2040,31059554,43524308,11938547,7594353,58104450,322595780,49566696,22912374,15250558,45595916,320779650,42586280,26568158
2041,31674812,44328124,12113581,7726267,59498480,327302000,51181044,23279982,15399196,46280428,326599330,43451204,27148560
2042,32289976,45131268,12286373,7857665,60898056,331973570,52829812,23644442,15545343,46961810,332393060,44319056,27732294
2043,32904192,45935280,12457062,7988707,62306444,336630720,54507504,24006626,15688786,47640800,338154140,45190228,28321004
